channel_name,tvg_id,match_type,suggested_id,suggested_score
Nova S Serbia,,,NOVA.S.HD.(RS).rs,0.800
NewsNation USA,NewsNation.us2,exact,,
National Geographic (NGC),,,National.Geographic.Now.dk,0.857
NICK JR,NickJr.au,exact,,
NICK,Nick.co,exact,,
Nicktoons,Nicktoons.at,exact,,
NDR DE,NDR.de,exact,,
Newsmax USA,Newsmax.TV.HD.us2,exact,,
Nat Geo Wild USA,,,,
Noovo CA,Noovo.ca2,exact,,
NBC Universo,,,UNIVERSO.HD.us2,0.800
NOW TV Turkey,NOW.tr,exact,,
Nova Sport 1 CZ,Nova.Sport.1.cz,exact,,
Nova Sport 2 CZ,Nova.Sport.2.cz,exact,,
Nova Sport 3 CZ,Nova.Sport.3.cz,exact,,
Nova Sport 4 CZ,Nova.Sport.4.cz,exact,,
Nova Sport 5 CZ,Nova.Sport.5.cz,exact,,
Nova Sport 6 CZ,Nova.Sport.6.cz,exact,,
OnTime Sports,,,On.Time.Sports.HD.ae,0.963
ONE 1 HD Israel,,,,
ONE 2 HD Israel,,,,
Orange Sport 1 Romania,,,,
Orange Sport 2 Romania,,,,
Orange Sport 3 Romania,,,,
Orange Sport 4 Romania,,,,
Oprah Winfrey Network (OWN),,,Oprah.Winfrey.Network.HD.us2,0.867
Oxygen True Crime,Oxygen.True.Crime.HD.ca2,exact,,
Outdoor Channel USA,Outdoor.Channel.HD.us2,exact,,
Oneplay Sport 1 CZ,Oneplay.Sport.1.cz,exact,,
Oneplay Sport 2 CZ,Oneplay.Sport.2.cz,exact,,
Oneplay Sport 3 CZ,Oneplay.Sport.3.cz,exact,,
Polsat Poland,Polsat.HD.pl,exact,,
Polsat Sport Poland,Polsat.Sport.pl,exact,,
Polsat Sport 2 Poland,,,Polsat.Sport.pl,0.923
Polsat Sport 3 Poland,,,Polsat.Sport.pl,0.923
Polsat News Poland,Polsat.News.pl,exact,,
Polsat Film Poland,Polsat.Film.HD.pl,exact,,
Porto Canal Portugal,Porto.Canal.HD.pt,exact,,
ProSieben (PRO7) DE,,,,
Premier Sports Ireland 1,Premier.Sports.1.HD.ie,exact,,
PTV Sports,PTV.Sports.pk,exact,,
PDC TV,,,,
Premier Brasil,,,,
Prima Sport 1,Prima.Sport.1.HD.ro,exact,,
Prima Sport 2,Prima.Sport.2.HD.ro,exact,,
Prima Sport 3,Prima.Sport.3.ro,exact,,
Prima Sport 4,Prima.Sport.4.ro,exact,,
Paramount Network,Paramount.Channel.br,exact,,
POP TV USA,POP.HD.us2,exact,,
Premier Sports Ireland 2,Premier.Sports.2.HD.ie,exact,,
Prima TV RO,Prima.TV.HD.ro,exact,,
Premier Sport 1 CZ,Premier.Sport.1.cz,exact,,
Premier Sport 2 CZ,Premier.Sport.2.cz,exact,,
Premier Sport 3 CZ,Premier.Sport.3.cz,exact,,
